domain_length,entropy,digit_ratio,subdomain_depth,ttl,unique_ip_count,query_rate,label
9,2.6416041678685938,0.0,1,2201,3,1.2,0
15,3.773557262275186,0.0,1,1668,3,2.48,0
12,3.2516291673878226,0.0,1,198,3,7.33,1
28,3.610577243331642,0.0,1,141,2,9.37,1
17,2.9398290174664017,0.7647058823529411,3,68,4,6.28,3
14,2.8423709931771084,0.7857142857142857,3,68,11,12.35,3
14,3.6644977792004614,0.0,1,1439,3,3.3,0
10,3.3219280948873626,0.0,1,3001,2,5.91,0
19,3.721611723969901,0.0,1,202,5,8.36,1
21,3.08232813685843,0.8095238095238095,3,108,10,10.79,3
20,2.9464393446710155,0.8,3,103,10,14.48,3
15,2.365596230357602,0.8,3,114,20,14.88,2
21,3.177566232096525,0.0,1,2052,1,3.08,0
21,3.7489948035250964,0.047619047619047616,2,136,7,13.21,3
26,3.5073801024236357,0.0,1,977,3,4.1,0
15,3.1898980954642875,0.0,1,3342,2,2.98,0
17,3.616874605956222,0.058823529411764705,2,163,7,8.83,3
16,3.452819531114783,0.0,1,724,3,2.11,0
20,2.6016094970590276,0.8,3,90,8,12.7,2
14,3.2359263506290326,0.0,1,82,5,6.64,1
13,2.8150724101159437,0.7692307692307693,3,76,4,12.13,3
18,3.086048612313038,0.7777777777777778,3,103,16,14.07,2
16,3.625,0.25,1,196,2,10.46,1
20,3.246439344671016,0.8,3,89,34,22.8,2
8,3.0,0.0,1,2180,2,1.0,0
12,3.4182958340544896,0.16666666666666666,2,136,11,10.45,3
15,3.506890595608519,0.0,1,122,5,12.61,1
19,3.5766176449086657,0.0,1,269,5,11.89,1
14,2.950212064914747,0.0,1,162,1,11.9,1
10,3.1219280948873624,0.0,1,90,2,7.55,1
16,3.75,0.0,1,3549,2,2.62,0
15,3.323231428797621,0.0,1,2553,2,1.88,0
13,3.3927474104487847,0.07692307692307693,2,150,6,13.44,3
17,2.9398290174664017,0.7647058823529411,3,178,10,5.21,3
19,3.326360407952694,0.7894736842105263,3,12,8,17.78,2
8,2.75,0.0,1,2044,3,2.38,0
6,2.2516291673878226,0.0,1,2524,2,4.28,0
20,2.708694969562842,0.8,3,64,5,13.79,3
11,2.4130884364257574,0.7272727272727273,3,118,6,13.55,3
19,3.5766176449086657,0.0,1,71,1,12.46,1
14,3.521640636343318,0.2857142857142857,2,119,15,24.37,2
22,3.788754913993503,0.18181818181818182,1,161,1,12.05,1
15,3.506890595608519,0.0,1,210,1,9.13,1
10,3.1219280948873624,0.0,1,2916,1,6.0,0
21,3.7489948035250964,0.0,1,3436,2,1.28,0
18,3.7254805569978675,0.05555555555555555,2,15,39,17.38,2
11,2.913977073182752,0.0,1,3288,1,4.73,0
22,3.913977073182752,0.0,1,115,23,10.62,2
24,3.3553885422075336,0.0,1,140,4,10.04,1
19,2.965583935727781,0.7894736842105263,3,144,6,5.51,3
17,3.7345216647797512,0.17647058823529413,2,147,5,11.07,3
13,2.6235166412180155,0.0,2,3000,1,5.05,0
15,3.506890595608519,0.0,1,1786,2,5.48,0
20,3.784183719779189,0.0,1,257,4,11.44,1
11,3.095795255000934,0.0,1,163,4,5.71,3
19,3.076103170996722,0.7894736842105263,3,188,10,12.31,3
12,3.584962500721156,0.0,1,88,1,10.35,1
18,3.794653473544342,0.0,1,1038,3,1.24,0
12,3.084962500721156,0.0,1,1857,3,4.68,0
13,3.3927474104487847,0.07692307692307693,2,153,8,9.12,3
18,3.4613201402110083,0.7777777777777778,3,76,5,7.28,3
32,3.9681390622295662,0.0,1,284,1,7.97,1
8,2.4056390622295662,0.0,1,81,18,14.71,2
14,3.3787834934861753,0.0,1,149,5,7.75,1
14,3.3787834934861753,0.2857142857142857,2,85,8,9.54,3
14,2.6995138503199656,0.7857142857142857,3,74,7,10.52,3
20,3.684183719779189,0.0,1,245,2,6.16,1
15,2.8159220638351665,0.0,1,130,6,8.19,3
11,2.913977073182752,0.0,2,146,4,11.07,3
11,3.095795255000934,0.0,1,1111,1,3.84,0
12,3.084962500721156,0.0,1,2530,2,5.41,0
20,3.284183719779189,0.05,2,197,8,11.99,3
20,3.141446071165522,0.0,1,84,2,7.16,1
20,3.246439344671016,0.8,3,46,15,19.94,2
14,3.6644977792004614,0.0,1,168,2,13.0,1
14,3.3787834934861753,0.0,1,249,2,11.45,1
12,3.4182958340544896,0.0,1,84,3,12.81,1
14,3.0930692077718898,0.0,1,231,1,8.12,1
12,3.2516291673878226,0.3333333333333333,1,2266,3,4.27,0
15,3.640223928941852,0.0,1,1207,3,1.81,0
10,2.8464393446710154,0.0,1,786,1,5.98,0
16,3.625,0.25,2,190,11,11.02,3
19,3.1813663288914587,0.7894736842105263,3,70,29,17.7,2
27,4.106377316818026,0.14814814814814814,1,98,4,7.77,1
21,3.3913864699857186,0.0,1,3254,2,3.69,0
23,3.9148663038831,0.13043478260869565,1,244,4,9.69,1
12,2.688721875540867,0.75,3,158,10,6.31,3
23,3.9690016298759927,0.0,1,263,4,12.89,1
11,2.8453509366224368,0.0,1,1210,3,5.44,0
16,3.202819531114783,0.75,3,82,25,12.09,2
14,3.521640636343318,0.0,1,1973,1,2.64,0
20,3.246439344671016,0.8,3,93,17,24.18,2
10,2.8464393446710154,0.1,1,1925,1,1.03,0
18,3.155221528859512,0.7777777777777778,3,80,10,18.84,2
26,3.6423714487439023,0.0,1,63,2,8.77,1
22,3.2953570516174424,0.0,1,95,1,7.77,1
20,3.3219280948873626,0.0,1,209,1,8.54,1
17,3.6901165175936645,0.0,1,240,1,10.74,1
19,3.826874881864638,0.0,1,183,4,8.22,1
13,3.238901256602631,0.0,1,269,2,12.5,1
18,3.4193819456463714,0.0,1,938,2,1.22,0
14,3.4677201004744993,0.0,1,222,3,11.8,1
19,2.970840013101985,0.7894736842105263,3,35,28,17.32,2
15,3.323231428797621,0.0,1,1933,2,4.05,0
16,3.702819531114783,0.0,1,183,4,8.25,1
15,3.773557262275186,0.13333333333333333,2,175,4,10.68,3
11,2.7321588913645702,0.0,1,616,3,5.66,0
7,2.521640636343318,0.0,1,3375,3,2.96,0
20,2.8709505944546687,0.8,3,91,4,9.48,3
10,2.9219280948873623,0.0,2,82,36,15.04,2
20,3.084183719779189,0.8,3,150,11,8.84,3
9,2.94770277922009,0.0,1,664,1,5.62,0
20,3.784183719779189,0.0,1,78,3,9.35,1
19,3.0105709342684834,0.7894736842105263,3,24,39,17.33,2
13,3.238901256602631,0.0,1,72,29,17.49,2
18,2.974937501201927,0.7777777777777778,3,80,31,20.32,2
19,3.1416354077249604,0.7894736842105263,3,59,12,21.47,2
20,3.065957320949175,0.8,3,194,4,5.51,3
23,3.8820451081368623,0.2608695652173913,3,106,8,6.6,3
13,3.180832987205441,0.0,1,3216,3,2.7,0
11,3.2776134368191157,0.0,1,192,4,12.4,1
13,3.180832987205441,0.0,2,3434,1,3.38,0
14,3.6644977792004614,0.0,1,93,4,11.79,1
26,3.6423714487439023,0.0,1,243,4,10.95,1
14,3.521640636343318,0.0,1,163,4,6.14,1
12,2.8553885422075336,0.75,3,109,4,12.2,3
10,2.9219280948873623,0.0,1,2276,3,4.61,0
22,3.823067982273661,0.09090909090909091,1,174,3,6.45,1
14,2.8423709931771084,0.7857142857142857,3,91,33,21.54,2
14,3.1820058147602133,0.0,1,105,2,7.15,1
9,2.725480556997868,0.0,2,1808,3,1.88,0
14,3.6644977792004614,0.0,1,231,1,11.77,1
15,3.323231428797621,0.0,2,31,9,13.56,2
16,3.5,0.0,1,1785,1,4.03,0
18,2.9329993066372895,0.7777777777777778,3,166,10,8.4,3
21,4.106603137064474,0.0,1,233,5,11.54,1
21,3.4273334938982645,0.0,1,294,2,8.75,1
13,3.238901256602631,0.0,1,2198,1,1.65,0
13,2.7192945256669794,0.7692307692307693,3,136,6,10.86,3
17,3.572469458770135,0.0,1,1550,2,2.41,0
18,3.5724312513221195,0.0,1,82,1,6.02,1
18,2.974937501201927,0.7777777777777778,3,137,4,9.96,3
17,3.381580488309163,0.0,1,36,19,23.14,2
12,3.2516291673878226,0.0,1,177,2,6.46,1
20,3.3219280948873626,0.0,1,157,2,6.48,1
16,3.202819531114783,0.0,1,200,3,10.46,1
17,3.572469458770135,0.11764705882352941,2,195,9,8.4,3
10,3.1219280948873624,0.0,1,3339,3,2.17,0
11,2.6635327548042547,0.7272727272727273,3,15,31,11.46,2
33,3.7526004683557055,0.0,1,122,1,11.8,1
16,3.077819531114783,0.0,1,2664,2,4.89,0
20,3.165957320949175,0.0,1,211,1,7.15,1
21,3.7489948035250964,0.0,1,206,4,11.75,1
19,3.826874881864638,0.0,1,2315,3,3.31,0
22,3.6069367321753214,0.0,1,1032,1,4.64,0
23,3.762267390651494,0.0,1,215,1,7.37,1
17,3.572469458770135,0.0,1,2263,3,1.07,0
20,2.970950594454669,0.8,3,40,23,14.84,2
13,3.0269868333592873,0.0,1,238,4,12.06,1
11,3.2776134368191157,0.0,1,228,3,12.75,1
28,3.655045546825804,0.0,1,63,4,7.76,1
6,2.584962500721156,0.0,1,2095,1,4.88,0
13,3.238901256602631,0.0,1,3081,1,5.63,0
7,2.521640636343318,0.0,1,1938,1,2.55,0
11,3.0271691184406184,0.0,1,39,14,11.68,2
16,3.452819531114783,0.0,1,2354,1,1.1,0
19,3.2866294867861954,0.7894736842105263,3,81,35,16.44,2
30,3.8444138295776114,0.0,1,237,3,7.51,1
10,3.1219280948873624,0.0,1,3417,2,1.68,0
16,3.5,0.0,1,288,2,6.28,1
20,3.584183719779189,0.0,1,91,4,9.95,1
20,3.184183719779189,0.0,1,237,4,10.93,1
17,3.3371753411230767,0.7647058823529411,3,142,6,5.14,3
12,2.6258145836939115,0.0,1,2031,1,1.08,0
18,3.4193819456463714,0.05555555555555555,2,118,18,17.02,2
7,2.521640636343318,0.0,1,2327,3,3.36,0
9,2.725480556997868,0.0,1,2251,1,5.06,0
19,3.0363722498302237,0.7894736842105263,3,67,37,17.55,2
17,3.3371753411230767,0.0,1,3123,2,3.0,0
14,3.807354922057604,0.0,1,213,1,9.52,1
20,3.6219280948873624,0.1,2,10,33,18.63,2
18,3.94770277922009,0.0,1,109,4,7.95,1
9,3.169925001442312,0.0,1,2116,3,5.92,0
10,3.1219280948873624,0.0,1,1321,1,4.95,0
10,2.8464393446710154,0.0,1,3040,3,2.39,0
17,3.057476076289931,0.7647058823529411,3,97,35,23.96,2
8,3.0,0.0,1,1403,1,3.17,0
10,3.1219280948873624,0.0,1,3128,1,1.31,0
43,4.618011556977366,0.32558139534883723,1,195,4,6.7,1
8,3.0,0.0,1,1940,3,2.21,0
20,3.8219280948873626,0.0,1,150,4,12.44,1
20,3.8841837197791893,0.0,1,3527,2,1.37,0
19,2.970840013101985,0.7894736842105263,3,47,30,12.82,2
20,3.1464393446710157,0.8,3,84,9,14.01,2
18,2.7527152789797045,0.7777777777777778,3,77,8,13.89,3
21,4.011365041826379,0.09523809523809523,2,140,11,13.3,3
22,3.8796640049025943,0.2727272727272727,1,121,1,11.75,1
21,4.106603137064474,0.0,1,147,3,8.01,1
15,3.640223928941852,0.0,1,157,3,7.01,1
11,3.2776134368191157,0.0,1,1945,1,3.51,0
11,3.2776134368191157,0.18181818181818182,1,917,1,4.6,0
11,3.2776134368191157,0.0,1,1172,2,2.88,0
19,3.0363722498302237,0.7894736842105263,3,77,4,10.56,3
15,3.106890595608519,0.0,1,1393,3,1.68,0
14,3.2359263506290326,0.0,1,3203,1,4.54,0
20,3.1709505944546685,0.8,3,107,8,8.64,3
20,3.408694969562842,0.0,1,66,3,7.17,1
11,3.095795255000934,0.0,1,1504,1,4.44,0
13,3.0269868333592873,0.0,1,1635,2,3.19,0
15,3.323231428797621,0.0,1,144,1,12.11,1
15,3.3735572622751855,0.0,1,1224,3,4.32,0
14,3.3787834934861753,0.14285714285714285,2,111,10,8.9,3
18,3.2390979179887864,0.0,1,155,3,12.8,1
34,3.620571577105421,0.0,1,89,2,6.91,1
19,2.970840013101985,0.7894736842105263,3,14,17,24.47,2
28,3.556656707462823,0.0,1,3196,1,3.44,0
18,3.0441104177484006,0.7777777777777778,3,100,8,7.75,3
16,3.327819531114783,0.0,1,164,4,11.39,1
18,3.94770277922009,0.16666666666666666,2,98,34,20.43,2
17,3.572469458770135,0.0,1,207,4,11.79,1
18,3.7254805569978675,0.0,1,2973,2,1.02,0
22,3.788754913993503,0.3181818181818182,1,175,4,10.75,1
12,3.2516291673878226,0.0,1,188,1,7.11,1
23,3.729446194905256,0.0,1,275,2,9.35,1
8,2.75,0.0,1,1024,1,5.3,0
11,2.6635327548042547,0.7272727272727273,3,64,21,11.02,2
12,3.4182958340544896,0.0,1,3358,1,2.79,0
18,3.7254805569978675,0.0,1,1778,3,5.59,0
21,3.6537567082870015,0.0,1,103,3,8.02,1
17,3.381580488309163,0.0,1,2581,1,5.63,0
16,3.327819531114783,0.0,1,238,2,6.29,1
7,2.8073549220576037,0.0,1,2252,2,1.89,0
12,3.4182958340544896,0.0,1,109,3,7.19,1
16,3.5,0.0,1,3305,1,4.64,0
20,3.1086949695628423,0.0,1,287,3,9.41,1
18,3.4193819456463714,0.0,1,238,3,8.97,1
18,3.0441104177484006,0.7777777777777778,3,54,24,13.33,2
13,3.3927474104487847,0.0,1,2412,1,2.6,0
20,3.3464393446710154,0.8,3,67,14,19.12,2
12,3.2516291673878226,0.0,1,124,2,7.04,1
21,2.8152023999804863,0.8095238095238095,3,29,17,21.66,2
16,3.625,0.125,2,55,12,24.08,2
13,3.3927474104487847,0.0,1,278,3,12.08,1
12,2.8553885422075336,0.0,1,2956,1,4.32,0
15,3.323231428797621,0.0,1,198,2,8.08,1
15,2.923231428797621,0.8,3,72,31,23.72,2
8,2.4056390622295662,0.0,1,3108,1,2.9,0
12,3.0220552088742005,0.0,1,1175,1,5.51,0
13,3.0269868333592873,0.0,1,631,2,4.38,0
15,2.7898980954642876,0.7333333333333333,3,34,17,22.91,2
22,3.6069367321753214,0.0,1,289,1,12.47,1
13,3.546593564294939,0.0,1,1046,1,2.5,0
19,3.6818808028034025,0.0,1,141,1,8.47,1
14,2.270942421748537,0.7857142857142857,3,84,9,5.58,3
18,3.0441104177484006,0.7777777777777778,3,29,24,12.64,2
21,3.558518613048906,0.0,1,2815,1,2.22,0
22,3.641249800455479,0.0,1,117,4,11.73,1
14,3.3787834934861753,0.0,1,2053,1,4.68,0
21,3.177566232096525,0.8095238095238095,3,153,11,6.9,3
15,3.506890595608519,0.0,1,2586,1,2.98,0
18,2.8218881955261788,0.7777777777777778,3,144,9,11.66,3
15,3.640223928941852,0.0,1,3148,3,2.85,0
10,2.9219280948873623,0.0,1,2119,3,4.99,0
